Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,3.32999992370605,..,10.1099996566772,..,..,14.0299997329712,..,..,16.7700004577637
Afghanistan,AFG,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,1.36000001430511,..,7.19999980926514,..,..,10.3699998855591,..,..,10.4499998092651
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,1.69000005722046,..,7.90999984741211,..,..,11.1800003051758,..,..,11.710000038147
Albania,ALB,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,13.75,11.4899997711182,13.4399995803833,15.5200004577637,17.1200008392334,14.4700002670288,12.5,11.8800001144409,11.3199996948242,..
Albania,ALB,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,13.2700004577637,14.8100004196167,17.7600002288818,19.9099998474121,17.25,16.1399993896484,14.4399995803833,12.6300001144409,11.5799999237061,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.4799995422363,13.3800001144409,15.8699998855591,18.0499992370605,17.1900005340576,15.4200000762939,13.6199998855591,12.3000001907349,11.4700002670288,..
Algeria,DZA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,16.9899997711182,16.2999992370605,15.5799999237061,16.5699996948242,18.25,26.2299995422363,..,..,..
Algeria,DZA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,9.5600004196167,8.30000019073486,8.96000003814697,9.92000007629395,8.18000030517578,10.7700004577637,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.96000003814697,10.9700002670288,9.81999969482422,10.210000038147,11.210000038147,10.1999998092651,13.5699996948242,..,..,..
American Samoa,ASM,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,7.71000003814697,..,..,9.10000038146973,..,..,..,..,..,..
Angola,AGO,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,7,..,..,9.96000003814697,..,..,..,..,..,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.3600001335144,..,..,9.57999992370605,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,8.48999977111816,8.78999996185303,8.46000003814697,8.35999965667725,..,..,9.44999980926514,10.5100002288818,10.6899995803833,12.3599996566772
Argentina,ARG,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,6.23999977111816,6.05999994277954,6.09999990463257,6.46999979019165,..,..,7.51000022888184,8.19999980926514,9.18000030517578,10.75
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.17999982833862,7.21999979019165,7.09999990463257,7.26999998092651,..,..,8.35000038146973,9.22000026702881,9.84000015258789,11.460000038147
Armenia,ARM,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,19.6100006103516,18.1499996185303,18.0699996948242,19.3799991607666,19.2299995422363,17.4899997711182,17.4799995422363,20.4300003051758,19.3099994659424,17.1299991607666
Armenia,ARM,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,17.3299999237061,16.4899997711182,14.3699998855591,15.6800003051758,17.3600006103516,17.7299995422363,17.9099998474121,17.8500003814697,17.5,19.0499992370605
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,18.4400005340576,17.2999992370605,16.1800003051758,17.5,18.2600002288818,17.6200008392334,17.7000007629395,18.9699993133545,18.2999992370605,18.1800003051758
Aruba,ABW,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,7.80000019073486,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,8.60000038146973,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.89999961853027,..,..,..,..,..,..,..,..,..
Australia,AUS,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,5.30000019073486,5.32999992370605,5.6100001335144,6.17000007629395,6.07000017166138,5.78000020980835,5.67000007629395,5.32000017166138,5.09999990463257,6.34999990463257
Australia,AUS,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,4.8899998664856,5.1399998664856,5.71000003814697,6,6.03999996185303,5.65000009536743,5.51999998092651,5.28000020980835,5.21000003814697,6.55000019073486
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.07999992370605,5.21999979019165,5.65999984741211,6.07999992370605,6.05000019073486,5.71000003814697,5.59000015258789,5.30000019073486,5.15999984741211,6.46000003814697
Austria,AUT,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,4.57999992370605,4.78999996185303,5.28999996185303,5.38000011444092,5.30999994277954,5.53999996185303,5.03000020980835,4.65000009536743,4.34999990463257,5.23000001907349
Austria,AUT,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,4.55000019073486,4.92999982833862,5.36999988555908,5.82999992370605,6.09000015258789,6.42999982833862,5.90999984741211,5.01999998092651,4.6100001335144,5.48000001907349
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.55999994277954,4.86999988555908,5.32999992370605,5.61999988555908,5.71999979019165,6.01000022888184,5.5,4.84999990463257,4.48999977111816,5.3600001335144
Azerbaijan,AZE,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,6.44999980926514,6.09000015258789,5.94999980926514,5.84000015258789,5.86999988555908,6,5.90000009536743,5.84000015258789,5.71000003814697,8.40999984741211
Azerbaijan,AZE,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,4.42999982833862,4.32000017166138,4.03999996185303,4.01999998092651,4.09000015258789,4.19999980926514,4.07000017166138,4.09999990463257,4.03000020980835,5.96000003814697
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5,4.96000003814697,4.94000005722046,4.84999990463257,7.15999984741211
"Bahamas, The",BHS,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,15.3100004196167,13.9700002670288,16.2600002288818,14.6000003814697,12.8999996185303,14.5,10.8999996185303,10,..,..
"Bahamas, The",BHS,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,13.710000038147,14.0699996948242,16.1100006103516,13,11,11.1000003814697,8,10.1000003814697,..,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.5200004577637,14.0200004577637,16.1800003051758,13.8000001907349,12,12.6999998092651,9.80000019073486,10,..,..
Bahrain,BHR,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,3.88000011444092,..,..,..,..,..,..,..,..
Bahrain,BHR,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,0.469999998807907,..,..,..,..,..,..,..,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4,1.20000004768372,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,7.40999984741211,..,..,7.28999996185303,6.67999982833862,..,..,..
Bangladesh,BGD,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,3.15000009536743,..,..,3.08999991416931,3.3199999332428,..,..,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,4.42999982833862,..,..,4.34999990463257,4.36999988555908,..,..,..
Barbados,BRB,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,12.6300001144409,12.2700004577637,11.4300003051758,12.7799997329712,8.97000026702881,8.64999961853027,8.77999973297119,8.53999996185303,7.26999998092651,..
Barbados,BRB,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,9.80000019073486,10.9499998092651,11.6599998474121,11.8100004196167,10.6300001144409,7.84999990463257,8.47000026702881,8.11999988555908,9.52999973297119,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.1899995803833,11.5900001525879,11.5500001907349,12.1700000762939,9.80000019073486,8.25,8.61999988555908,8.31999969482422,8.40999984741211,..
Belarus,BLR,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,0.600000023841858,0.5,0.400000005960464,0.400000005960464,0.699999988079071,4.19000005722046,4.03999996185303,3.55999994277954,3.20000004768372,3.29999995231628
Belarus,BLR,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,0.600000023841858,0.600000023841858,0.600000023841858,0.699999988079071,1.20000004768372,7.48000001907349,7.23000001907349,5.92999982833862,5.1100001335144,4.76999998092651
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.600000023841858,0.5,0.5,0.5,1,5.84000015258789,5.65000009536743,4.76000022888184,4.15999984741211,4.05000019073486
Belgium,BEL,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,7.17999982833862,7.40999984741211,8.17000007629395,7.94000005722046,7.76999998092651,7.55999994277954,7.05000019073486,5.55999994277954,4.94000005722046,5.3600001335144
Belgium,BEL,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,7.1100001335144,7.65000009536743,8.64000034332275,9.02000045776367,9.09000015258789,8.0600004196167,7.1100001335144,6.28000020980835,5.73000001907349,5.73000001907349
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.1399998664856,7.53999996185303,8.43000030517578,8.52000045776367,8.47999954223633,7.82999992370605,7.09000015258789,5.94999980926514,5.3600001335144,5.55000019073486
Belize,BLZ,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,12.5900001525879,14.0200004577637,11.0699996948242,11.1400003433228,9.8100004196167,..,13.5799999237061,..
Belize,BLZ,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,5.82000017166138,4.75,5.44000005722046,4.40000009536743,4.59000015258789,..,5.86999988555908,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,8.35000038146973,8.23999977111816,7.57999992370605,7,6.59999990463257,..,9.05000019073486,..
Benin,BEN,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,2.85999989509583,..,..,..,..,..,..,1.73000001907349,..,..
Benin,BEN,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,2.42000007629395,..,..,..,..,..,..,1.24000000953674,..,..
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.65000009536743,..,..,..,..,..,..,1.47000002861023,..,..
Bermuda,BMU,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,8.17000007629395,5.55999994277954,8.05000019073486,..,..,..,..,..,..
